item_id|status_id|serial_number|warehouse_location_id|exp_dt|value
20192|1|12366358|2272||29.81
20193|1|12363614|2365||89.72
20194|1|12363542|2365||12.40
20195|1|12366256|2365||22.00
20196|1|12364726|2365||32.86
20197|1|12366356|2365||87.87
20198|1|12366261|2365||16.82
20199|1|12364749|2365||65.11
20200|0|12365195|2365|2018-08-20 15:07:42|54.10
20201|1|12363052|2365||27.17
20202|1|12365209|2365||83.10
20203|0|12364124|2365|2018-08-20 15:07:42|12.70
20204|1|12366353|2365||10.84
20205|1|12364090|2365||0.40
20206|1|12365211|2365||54.59
20207|1|12363591|2365||59.24
20208|1|12363587|2272||97.74
20209|1|23865|2268||40.55
20210|0|5035|2272|2018-08-20 15:07:42|63.39
20211|0|5075|2272|2018-08-20 15:07:42|27.69
20212|1|5078|2272||21.99
20213|1|5047|2272||61.52
20214|1|603100173|2326||66.18
20215|1|2475414|||15.26
20216|1|2465327|||5.58
20217|1|2475419|||1.33
20218|1|2384834|||56.79
20219|1|2384821|||54.32
20220|3|23519|||30.14
20221|1|2384827|||49.29
20222|1|2384841|||43.37
20223|1|2384832|||82.60
20224|1|2465350|||24.70
20225|1|2465354|||63.88
20226|3|2465353|||3.09
20227|1|2465357|||41.65
20228|1|2465363|||21.71
20229|1|2465368|||12.98
20230|1|2465366|||52.17
20231|1|07810383|2304||47.89
20232|1|500211734|2301||31.85
20233|1|06441057|2365||92.95
20234|1|07040007|2312||94.19
20235|0|2018918001|2336|2018-08-20 15:07:42|5.32
20236|1|2475411|||12.88
20237|0|2525570||2018-08-20 15:07:42|8.49
20238|1|2525583|||34.68
20239|1|2525623|||54.00
20240|0|2535633||2018-08-20 15:07:42|33.03
20241|1|2535636|||19.57
20242|1|2535636|||74.57
20243|1|2535640|||73.48
20244|1|2475399|||54.20
20245|1|2475387|||87.35
20246|1|2475412|||20.81
20247|1|2535652|||85.28
20248|1|2525625|||85.49
20249|1|2535650|||75.59
20250|1|2465329|||76.64
20251|1|2475404|||23.68
20252|1|2475388|||82.37
20253|1|2465345|||89.19
20254|1|2535647|||99.71
20255|3|2475377|||68.72
20256|1|2525592|||91.89
20257|1|2525617|||56.63
20258|1|2535652|||40.78
20259|1|2435140|||60.84
20260|1|2465342|||69.34
20261|1|2475373|||87.73
20262|1|2475389|||0.95
20263|3|2525403|||41.09
20264|1|2475407|||16.76
20265|0|2475403||2018-08-20 15:07:42|63.60
20266|1|2384850|||70.23
20267|1|2384836|||86.14
20268|1|2384842|||18.63
20269|0|2465328||2018-08-20 15:07:42|40.28
20270|1|2465327|||35.52
20271|0|2465329||2018-08-20 15:07:42|32.22
20272|1|2465338|||75.22
20273|1|2525593|||72.73
20274|1|2525577|||70.63
20275|1|2525602|||7.06
20276|3||||58.93
20277|0|2525591||2018-08-20 15:07:42|90.84
20278|1|2525585|||46.53
20279|1|2525615|||14.16
20280|1|2525610|||43.99
20281|1|2525612|||84.10
20282|1|2525611|||24.42
20283|0|2525613||2018-08-20 15:07:42|38.28
20284|1|2525618|||85.00
20285|1|2525597|||76.56
20286|1|2525619|||19.76
20287|1|2475374|||66.46
20288|1|2525616|||44.61
20289|1|2475406|||98.69
20290|1|2475371|||49.98
20291|3|2515609|||43.72
20292|1|2525614|||95.78
20293|1|2475379|||87.85
20294|1|2475393|||3.89
20295|1|2475392|||7.41
20296|1|2475381|||48.99
20297|1|2475376|||73.95
20298|1|2906|2304||95.52
20299|1|485113|2478||69.57
20300|1|20082979|2322||79.82
20301|0|86312965|2268|2018-08-20 15:07:42|31.95
20302|1|43164|2365||90.52
20303|1|315|2365||41.29
20304|1|45|2325||57.20
20305|1|46|2319||7.90
20306|1|45434|2478||17.72
20307|1|41310|2478||18.26
20308|1|17178|2268||97.92
20309|1|86310292|2268||50.03
20310|1|86323259|2268||4.01
20311|1|52334|2365||71.68
20312|1|0458658|2272||97.50
20313|1|48007353|2478||1.71
20314|1|10618|2326||95.22
20315|1|1070279|||13.56
20316|1|1070430|2326||13.10
20317|1|5091459|||37.76
20318|1|5091465|2466||51.03
20319|1|5091445|2466||30.74
20320|1|5091493|2466||98.66
20321|1|83616|2365||50.83
20322|1|04123191|2304||26.76
20323|1|04203435|2304||6.57
20324|1|04133251|2304||17.76
20325|1|04133247|2304||19.49
20326|1|04123235|2304||79.87
20327|1|33794|2273||74.54
20328|1|33815|2273||84.55
20329|1|85651|2292||14.63
20330|1|004667|2272||64.17
20331|1|48007352|2478||72.88
20332|0|4950594|2466|2018-08-20 15:07:42|8.17
20333|1|4950591|2466||25.86
20334|1|4950598|2466||99.55
20335|1|4632857|||94.40
20336|1|50029323|2308||41.00
20337|1|83619|2365||14.52
20338|1|86315340|2268||30.10
20339|1|13488|2268||50.59
20340|1|50023382|2308||56.21
20341|1|4428477|2342||24.95
20342|1|14100029|2272||8.66
20343|1|14100026|2272||94.20
20344|1|14100064|2272||4.90
20345|1|14100049|2272||10.63
20346|1|14100001|2272||70.48
20347|1|3344322|2304||69.42
20348|1|3344320|2304||28.34
20349|1|3344335|2304||56.95
20350|1|3344299|2304||84.04
20351|1|3344311|2304||83.78
20352|1|3344342|2304||25.58
20353|1|3344341|2304||7.00
20354|1|3344317|2304||91.84
20355|1|3344315|2304||20.89
20356|1|00598|2365||1.90
20357|1|980016344|2478||22.37
20358|1|99144806|2291||79.11
20359|0|14100057|2272|2018-08-20 15:07:42|38.29
20360|1|85816|2272||48.45
20361|1|85817|2272||35.25
20362|1|86310366|2268||33.27
20363|1|86322512|2268||19.37
20364|1|4498907|2312||28.57
20365|1|58212|2268||73.72
20366|1|33581|2268||82.06
20367|1|9877462|2478||73.62
20368|1|50029941|2304||70.94
20369|1|50029940|2332||66.80
20370|1|52723|2365||23.24
20371|1|83632|2365||4.31
20372|1|500210063|2326||95.27
20373|1|0500368|2332||60.75
20374|1|05065434|2332||83.76
20375|1|05065445|2332||87.77
20376|1|05065445|2332||20.64
20377|1|044744956|2332||3.61
20378|1|20700|2268||71.18
20379|1|14120052|2272||33.35
20380|0|14120047|2272|2018-08-20 15:07:42|32.11
20381|1|14120024|2272||79.16
20382|1|14120041|2272||5.45
20383|1|14120033|2272||18.28
20384|1|05045305|2304||5.76
20385|1|05045310|2304||97.40
20386|0|05045311|2304|2018-08-20 15:07:42|43.74
20387|1|05045312|2304||16.52
20388|1|05045316|2304||17.79
20389|1|05514994|4||72.85
20390|1|99035667|2319||36.23
20391|1|420272|2365||65.72
20392|1|52844|2268||87.85
20393|1|21896|2268||47.43
20394|1|31528|2268||75.94
20395|1|28972|2268||41.48
20396|1|86305810|2268||32.16
20397|1|58184|2268||39.70
20398|1|86321391|2268||30.22
20399|1|86321409|2268||33.06
20400|1|86321393|2268||26.74
20401|1|86321406|2268||26.75
20402|1|86321365|2268||66.99
20403|1|86321424|2268||39.64
20404|1|38702|2268||6.09
20405|1|86321388|2268||90.84
20406|0|37036|2268|2018-08-20 15:07:42|13.56
20407|1|86321206|2268||31.23
20408|1|54789|2268||47.83
20409|1|29030|2268||86.99
20410|1|38492|2268||10.90
20411|0|86300713|2268|2018-08-20 15:07:42|43.50
20412|1|86321376|2268||18.58
20413|1|86321408|2268||13.46
20414|1|86321423|2268||51.22
20415|1|86321383|2268||0.55
20416|1|86321371|2268||81.54
20417|1|86321410|2268||91.67
20418|1|86321379|2268||11.89
20419|1|86321381|2268||84.82
20420|1|23860|2268||91.14
20421|1|161230|2292||87.11
20422|1|00343|2365||23.43
20423|0|19642|2355|2018-08-20 15:07:42|98.25
20424|1|19700|2355||25.12
20425|1|9604|2308||28.05
20426|1|33520|2268||34.53
20427|1|22106|2268||83.89
20428|1|10370|2268||29.48
20429|1|86304158|2268||3.52
20430|1|24761|2268||62.02
20431|1|86300156|2268||1.98
20432|1|54085|2268||76.66
20433|0|55569|2268|2018-08-20 15:07:42|47.39
20434|1|56778|2268||38.64
20435|1|56630|2268||79.83
20436|1|20282|2268||62.38
20437|1|16989|2268||39.95
20438|1|50024295|2305||96.47
20439|1|20021718|2352||79.39
20440|1|50025957|2291||91.42
20441|1|5228|2332||83.89
20442|0|217386|2319|2018-08-20 15:07:42|49.00
20443|1|1330633|2349||51.89
20444|1|50027167|2478||27.91
20445|1|25983|2292||36.07
20446|1|25942|2292||59.67
20447|1|25860|2292||73.59
20448|1|25992|2292||10.37
20449|1|25984|2292||1.97
20450|1|25976|2292||9.76
20451|1|25967|2292||81.71
20452|1|24967|2292||56.89
20453|1|25872|2292||24.27
20454|0|25990|2292|2018-08-20 15:07:42|3.56
20455|1|30691|2304||54.81
20456|1|4313906|2306||11.04
20457|1|17734|2268||22.24
20458|1|86317924|2268||73.68
20459|1|33938|2268||6.68
20460|1|2051738|2289||3.56
20461|1|70154|2326||63.66
20462|1|0200949001|2296||74.44
20463|1|4629775|2466||87.92
20464|1|114705494|2312||30.60
20465|0|0200949002|2332|2018-08-20 15:07:42|75.82
20466|1||2357||76.11
20467|0|02820794|2365|2018-08-20 15:07:42|14.29
20468|1|0286616|2291||73.59
20469|1|02820786|2365||27.34
20470|1|14001671|2304||98.10
20471|1|0200809066|2326||66.07
20472|1|24938|2273||11.28
20473|1|76819|2365||37.29
20474|1|02815173|||43.72
20475|1|19313|2365||27.45
20476|1|022069113|2297||99.34
20477|1||2268||93.44
20478|1|4701050|2306||24.67
20479|1|4701065|2306||60.24
20480|1|4291703|2306||17.90
20481|1|4714265|2306||86.13
20482|1|4950897|2306||87.98
20483|1|4701047|2306||30.87
20484|1|4701069|2306||12.34
20485|1|4714266|2306||89.49
20486|1|86321340|2268||83.30
20487|1|30508|2268||34.94
20488|1|8632|2268||77.86
20489|1||2268||46.62
20490|1|86321295|2268||33.51
20491|1|25668|2268||88.46
20492|1|18236|2268||63.10
20493|1|53827|2268||40.38
20494|1|33002|2268||96.52
20495|1|53594|2268||79.82
20496|1|11737|2268||93.27
20497|1|86311078|2268||56.36
20498|1|86321344|2268||31.05
20499|0|86321265|2268|2018-08-20 15:07:42|1.74
20500|0|35066|2268|2018-08-20 15:07:42|38.14
20501|1|23775|2268||69.85
20502|1|86321358|2268||4.45
20503|1|86300042|2268||7.30
20504|1|16257|2268||75.34
20505|1|86321358|2268||13.20
20506|1|17104|2268||5.30
20507|1|20678|2268||59.20
20508|1|29599|2272||24.29
20509|1|31009|2304||5.46
20510|1|30925|2304||48.74
20511|1|0223469019|2304||66.32
20512|1|033182|2273||51.14
20513|1|033092|2273||50.74
20514|1|30924|2304||87.48
20515|1|83626|2365||26.83
20516|1|76911|2365||70.27
20517|1|30988|2304||37.09
20518|1|21396625|2648||66.25
20519|1|86321317|2268||21.94
20520|1|36599|2268||92.50
20521|1|504|2336||92.36
20522|1|28702|2268||82.68
20523|1|51940|2268||29.45
20524|1|21682969|||95.57
20525|1|02821275|||78.93
20526|0|09971144|2280|2018-08-20 15:07:42|42.51
20527|0|105655|2348|2018-08-20 15:07:42|51.13
20528|1|102845640|2297||17.25
20529|1|38961|2268||33.70
20530|1|86310699|2268||21.93
20531|1|86320215|2268||73.29
20532|1|88318137|2268||96.47
20533|1|86322731|2268||85.08
20534|0|0321579022|2297|2018-08-20 15:07:42|75.02
20535|1|55035|2268||4.44
20536|1|34735|2268||12.75
20537|0|29656|2268|2018-08-20 15:07:42|3.74
20538|1|21646|2268||49.13
20539|1|36234|2268||59.38
20540|1|02821339|||99.52
20541|1|02821170|||68.52
20542|1||||96.17
20543|1|15698|2343||83.73
20544|1|0998|2332||31.57
20545|1|16964|2268||54.35
20546|1|15348|2268||92.60
20547|1|86321284|2268||38.09
20548|1|86310625|2268||12.08
20549|1|86321281|2268||73.70
20550|0|20393|2268|2018-08-20 15:07:42|6.06
20551|1|86321285|2268||85.98
20552|1|3307325|2273||9.58
20553|1|86306962|2268||28.31
20554|1|31015|2304||71.56
20555|1|31480|2304||54.65
20556|1|31014|2304||20.29
20557|1|30994|2304||52.64
20558|1|31477|2304||65.02
20559|1|030|2303||62.99
20560|1|86310977|2268||56.19
20561|1|31334|2268||55.97
20562|1|86309919|2268||87.24
20563|1|86309888|2268||35.62
20564|1|85309900|2268||84.21
20565|1|9889287|2268||94.49
20566|1|9889201|2268||95.90
20567|0|9889543|2268|2018-08-20 15:07:42|47.23
20568|0|9888852|2268|2018-08-20 15:07:42|66.93
20569|1|9889866|2268||30.29
20570|0|9886660|2268|2018-08-20 15:07:42|48.84
20571|0|0456984|2319|2018-08-20 15:07:42|66.51
20572|1|0321489045|2342||80.25
20573|1|05460203|2336||58.65
20574|1|48|2343||46.13
20575|1|63|2342||93.59
20576|1|05450071|2342||8.25
20577|1|50|2348||10.49
20578|1|06100011|2325||84.21
20579|0|50028453|2351|2018-08-20 15:07:42|10.28
20580|0|45370|2320|2018-08-20 15:07:42|40.89
20581|1|33|2312||61.40
20582|1|06357063|2312||59.58
20583|1|06357254|2312||87.20
20584|1|22839|2312||24.62
20585|0|06340011|2312|2018-08-20 15:07:42|4.15
20586|1|12474788|2312||85.33
20587|1|50023516|2312||16.92
20588|1|06340015|2312||41.64
20589|1|04449575|2320||66.04
20590|1|2011216|2304||8.10
20591|1|0200949009|2332||67.29
20592|1|05420571|2304||17.86
20593|1|05420610|2304||77.92
20594|1|0003349034|2332||38.52
20595|0|04220004|2291|2018-08-20 15:07:42|74.07
20596|1|06330078|2326||85.26
20597|1|50029964|2326||26.52
20598|1|0567278|2272||32.95
20599|1|0458676|2272||17.03
20600|1|0567190|2272||48.77
20601|1|01809874|2308||46.60
20602|1|12580810|2348||89.44
20603|0|12580813|2348|2018-08-20 15:07:42|48.60
20604|1|06430053|2319||33.26
20605|1|0321489060|2319||34.66
20606|1|49|2349||45.85
20607|1|05470071|2349||69.35
20608|1|45431|2478||10.98
20609|1|3134|2478||90.88
20610|1|432905|2478||92.86
20611|1|12582126|2478||69.23
20612|1|12582119|2478||34.69
20613|1|12582118|2478||20.79
20614|1|9890142|2268||39.94
20615|1|432906|2478||78.89
20616|1|35136|2478||27.15
20617|1|44860|2478||53.51
20618|1|31034|2478||97.14
20619|1|980016195|2478||0.17
20620|1|44997|2478||2.12
20621|1|9889954|2268||57.98
20622|1|9889028|2268||60.40
20623|1|43839|2478||9.83
20624|1|02820090|2478||17.34
20625|1|35191|2478||64.02
20626|1|35132|2478||13.59
20627|1|35131|2478||55.78
20628|1|44973|2478||84.97
20629|1|6013811|2298||19.74
20630|1|0102079025|2268||84.88
20631|1|06370111|2298||89.83
20632|1|05891484|||89.69
20633|1|60023259|2298||41.94
20634|1|6013802|2298||20.48
20635|2|00672|2304||6.22
20636|1|00536|2304||90.07
20637|0|00166|2304|2018-08-20 15:07:42|41.26
20638|1|00057|2304||63.68
20639|0|00665|2304|2018-08-20 15:07:42|79.95
20640|0|22222|2327|2018-08-20 15:07:42|3.38
20641|1|11723|2292||28.53
20642|1|00287|2292||51.87
20643|1|124|2292||24.15
20644|1|00175|2365||99.46
20645|1|31066|2327||34.17
20646|1|28637|2327||69.72
20647|1|00176|2304||10.59
20648|0|9886645|2268|2018-08-20 15:07:42|53.81
20649|1|39170|2268||97.07
20650|1|483726|2365||21.18
20651|1|480670|2365||22.42
20652|1|487604|2365||35.50
20653|1|0073|2365||4.79
20654|1|06441055|2365||8.27
20655|1|06419299|2365||33.44
20656|1|06441069|2365||30.11
20657|1|06452060|2365||91.59
20658|1|420282|2365||29.59
20659|1|12366998|2365||32.79
20660|1|06342709|2365||23.23
20661|1|0051|2365||25.93
20662|1|0066|2365||36.39
20663|1|0049|2365||39.47
20664|1|02816580|2365||94.84
20665|1|420273|2365||44.19
20666|1|12364724|2365||9.11
20667|1|48007605|2365||75.63
20668|1|0064|2365||99.98
20669|0|00406|2304|2018-08-20 15:07:42|12.15
20670|1|6017207|2303||42.24
20671|1|31001|2332||92.89
20672|1|0002729022|2478||36.05
20673|0|0200359042|2478|2018-08-20 15:07:42|20.85
20674|1|50029137|2478||50.49
20675|1|432903|2478||70.72
20676|1|0200179014|2478||22.27
20677|1|0458666|2272||48.61
20678|1|35195|2478||34.04
20679|1|33711|4||31.18
20680|0|05514977|2301|2018-08-20 15:07:42|41.48
20681|1|33234|2273||45.70
20682|1|33753|2273||65.86
20683|1|04439410|2273||38.97
20684|1|33755|2273||19.93
20685|1|33793|2273||23.37
20686|1|33506|2273||88.90
20687|1|33754|2273||81.09
20688|1|33758|2273||45.16
20689|1|33700|2273||53.91
20690|1|00425|2365||36.14
20691|1|1070428|||45.19
20692|1|00597|2365||47.59
20693|1|10462|2304||13.26
20694|1|0321489049|2296||11.33
20695|1|3422711|2304||40.69
20696|1|0223049022|2478||96.16
20697|1|0200179003|2478||23.01
20698|1|35137|2478||93.25
20699|1|31156|2478||31.93
20700|1|43813|2478||83.28
20701|1|43842|2478||73.21
20702|1|44941|2478||51.58
20703|1|43691|2478||77.40
20704|1|35190|2478||99.69
20705|1|41257|2478||32.78
20706|1|35192|2478||87.01
20707|1|34845|2478||94.23
20708|1|43751|2478||24.44
20709|1|0003359016|2478||79.13
20710|1|19916|2355||33.71
20711|0|19932|2355|2018-08-20 15:07:42|92.06
20712|1|19914|2355||80.45
20713|1|10711|2355||3.60
20714|1|19924|2355||86.89
20715|1|22838|2355||45.48
20716|1|06377713|2355||31.10
20717|1|06367301|2312||74.33
20718|1|06377683|2355||43.44
20719|1|19543|2355||99.05
20720|1|22306|2355||18.16
20721|1|05220125|||63.37
20722|0|9889596|2268|2018-08-20 15:07:42|68.47
20723|1||2320||24.25
20724|1|02816446|2357||66.41
20725|1|07812258|2322||69.38
20726|1||2268||25.74
20727|1|07810473|2365||72.32
20728|1|07812137|2304||5.51
20729|0|07812154|2304|2018-08-20 15:07:42|92.92
20730|1|07810335|2304||34.70
20731|1|07812204|2304||92.15
20732|1|07812268|2304||84.32
20733|0|07812130|2304|2018-08-20 15:07:42|45.57
20734|1|02815157|||42.24
20735|1|07812284|2322||7.55
20736|1|116468|2322||78.22
20737|1|07812233|2357||99.93
20738|1|07812274|2322||21.87
20739|1|07812135|2304||72.69
20740|1|07810416|2304||14.65
20741|1|07812169|2304||11.81
20742|1|07810479|2304||38.34
20743|1|07810375|2304||50.26
20744|1|07812126|2304||67.47
20745|1|07812152|2304||71.40
20746|1|02816448|2365||40.44
20747|1|07812263|2322||81.15
20748|1|07812266|2322||95.33
20749|1|02820777|2322||65.11
20750|1|07812254|2322||70.13
20751|1|07812276|2322||39.97
20752|1|07812222|2326||24.56
20753|1|003021318|2322||54.58
20754|1|00302365|2322||0.54
20755|1|137725|2322||95.53
20756|1|0321339028|||1.97
20757|1|9889910|2268||4.56
20758|1|9890188|2268||41.07
20759|1|9883160|2268||20.35
20760|1|9886779|2268||67.84
20761|1|9890264|2268||16.44
20762|1|9886907|2268||72.27
20763|1|9890526|2268||18.43
20764|1|9889593|2268||24.66
20765|1|9870932|2268||48.76
20766|1|86323527|2268||98.43
20767|1|06525825|2292||65.37
20768|1|06515445|2292||1.88
20769|1|06515606|2292||31.70
20770|1|06515529|2292||30.82
20771|1|06515537|2292||79.98
20772|1|06515590|2292||42.06
20773|0|06515587|2292|2018-08-20 15:07:42|6.88
20774|1|06515533|2292||39.46
20775|1|06525827|2292||71.53
20776|1|06525822|2292||58.94
20777|1|06515531|2292||49.32
20778|0|06515608|2292|2018-08-20 15:07:42|36.25
20779|1|06515455|2292||31.81
20780|1|06515596|2292||42.68
20781|1|06515603|2292||53.12
20782|1|06515597|2292||77.42
20783|1|06515523|2292||66.05
20784|1|43727|2292||12.71
20785|1|43726|2292||87.49
20786|0|43729|2292|2018-08-20 15:07:42|98.14
20787|1|43728|2292||82.00
20788|1|43733|2292||43.59
20789|1|43730|2292||54.79
20790|1|43732|2292||17.25
20791|1|43737|2292||81.09
20792|1|43734|2292||14.28
20793|1|43736|2292||7.23
20794|1|43735|2292||74.91
20795|1|72264|2292||21.06
20796|1|72265|2292||56.20
20797|1|72255|2292||3.84
20798|1|2816|2304||91.12
20799|1|649068|2268||43.98
20800|1|04295464|2272||0.40
20801|1|4701054|2306||14.38
20802|1|4714267|2306||58.00
20803|1|4701063|2306||88.95
20804|1|649073|2268||49.43
20805|1|649094|2268||1.88
20806|1|649090|2268||3.68
20807|0|05470069|2319|2018-08-20 15:07:42|33.50
20808|1|14100024|2272||24.01
20809|1|14100002|2272||40.23
20810|1|12100292|2272||90.75
20811|0|43814|2478|2018-08-20 15:07:42|33.03
20812|1|31605|2304||60.15
20813|1|669276|2268||48.82
20814|1|669675|2268||37.09
20815|1|07090093|2356||52.12
20816|1|0192|2357||56.99
20817|1|20082986|2322||50.54
20818|1|46476|2330||72.06
20819|1|9889913|2268||7.16
20820|1|9889364|2268||0.77
20821|1|9889446|2268||84.95
20822|1|9883232|2268||65.82
20823|1|9886435|2268||64.28
20824|0|25585|2292|2018-08-20 15:07:42|15.28
20825|1|1149602|||33.21
20826|0|072200435|2308|2018-08-20 15:07:42|94.81
20827|1|980023189|2278||61.70
20828|1|420249|2365||14.26
20829|1|00276|2304||36.48
20830|1|00277|2304||31.20
20831|1|00371|2304||50.74
20832|1|00669|2304||56.12
20833|0|00105|2304|2018-08-20 15:07:42|14.33
20834|1|25911|2292||69.11
20835|1|7400001|||74.56
20836|1|71800585|||26.29
20837|1|00056|2304||14.78
20838|0|06332682|2365|2018-08-20 15:07:42|25.78
20839|1|99838282|2355||28.82
20840|1|420283|2365||97.69
20841|1|484864|2292||52.86
20842|1|05895673|2319||80.19
20843|0|50020575|2296|2018-08-20 15:07:42|73.30
20844|1|0765370|||44.71
20845|1|0765386|||18.92
20846|1|0765338|2400||37.40
20847|1|0762684|2400||88.80
20848|1|0769586|2400||10.94
20849|1|0765337|||63.76
20850|1|0765340|||31.18
20851|1|0765362|2400||98.22
20852|1|0765342|2400||56.31
20853|1|0765401|||91.87
20854|1|0765397|2400||3.06
20855|1|0765396|||96.23
20856|1|0769578|||33.70
20857|1|0769546|||19.66
20858|1|0769571|2400||20.57
20859|1|0765347|||56.43
20860|1|0765329|2400||70.77
20861|1|0765343|||80.17
20862|1|0762674|||22.55
20863|1|0768408|||10.30
20864|1|0768410|||57.06
20865|1|0762666|||81.02
20866|1|0818458|||4.50
20867|1|0765360|||17.01
20868|1|0818461|2400||61.98
20869|1|0818417|||47.11
20870|1|0818426|||81.82
20871|1|0762366|||68.22
20872|1|0769590|||34.01
20873|1|0818343|2400||4.85
20874|1|0818392|2400||93.77
20875|1|0818363|||97.11
20876|1|0769694|2400||56.50
20877|1|0818389|2400||89.43
20878|1|0818353|||36.17
20879|0|0769562||2018-08-20 15:07:42|85.61
20880|1|0818373|||60.39
20881|1|0818356|2400||81.90
20882|1|0769559|2400||35.61
20883|1|0769699|||89.14
20884|1|0818382|||19.41
20885|1|0818374|||7.54
20886|1|0818401|2400||3.14
20887|1|0818346|||22.91
20888|1|0818388|||78.00
20889|1|0818396|2400||52.38
20890|1|0818317|||30.27
20891|1|0818347|||78.92
20892|1|0818291|||87.36
20893|1|0818282|2400||79.26
20894|1|0818378|2400||15.23
20895|1|0818362|||67.82
20896|1|0818385|||50.10
20897|1|0818354|2400||50.26
20898|1|0818339|||32.32
20899|1|0818301|2400||4.83
20900|1|0818361|||98.85
20901|0|0818397||2018-08-20 15:07:42|87.06
20902|1|0818286|||82.33
20903|1|0818293|||83.71
20904|1|0818313|2400||59.11
20905|1|0818355|2400||25.93
20906|1|0818345|2400||86.75
20907|1|0818311|||8.07
20908|1|0818285|||71.91
20909|1|0818419|||48.83
20910|1|0818420|2400||13.95
20911|1|0818452|2400||74.10
20912|1|0818402|||76.55
20913|1|0818433|||97.54
20914|1|0818442|||49.82
20915|1|0818234|||23.83
20916|1|0818241|||78.85
20917|1|0818255|2400||2.16
20918|1|0818273|||51.20
20919|1|0818387|||13.13
20920|1|0818415|||55.30
20921|1|0818264|||80.80
20922|1|0818221|||44.64
20923|1|0818270|2400||63.53
20924|1|0818422|2400||68.46
20925|1|0818431|||92.13
20926|0|0818423|2400|2018-08-20 15:07:42|58.56
20927|1|0818403|||92.04
20928|1|0818432|||94.11
20929|1|0818309|||47.23
20930|1|0818245|2400||1.63
20931|1|0818254|||38.07
20932|1|0818262|2400||85.38
20933|1|0818239|||12.63
20934|1|0818229|2400||25.36
20935|0|0818294||2018-08-20 15:07:42|31.66
20936|1|0818225|||24.39
20937|1|0818315|||61.00
20938|1|0818298|||33.61
20939|0|0818331||2018-08-20 15:07:42|72.08
20940|1|0818314|2400||36.73
20941|1|0818256|||51.18
20942|1|0818219|||27.11
20943|1|0818267|||10.97
20944|1|0818300|||69.18
20945|1|0818310|||44.28
20946|1|0818327|||95.73
20947|1|0818290|2400||59.22
20948|0|0818319|2400|2018-08-20 15:07:42|56.06
20949|1|0769666|||87.29
20950|1|0769551|||96.50
20951|1|0769541|||61.60
20952|1|0769713|||24.54
20953|1|0769566|2400||21.10
20954|1|0769585|||80.16
20955|1|0769665|||8.45
20956|1|0769682|||14.50
20957|1|0769715|2400||94.30
20958|1|0769639|2400||54.25
20959|1|0769655|2400||78.39
20960|1|0769534|||13.03
20961|1|0769644|||89.66
20962|1|0769650|||95.53
20963|1|0769545|||31.34
20964|1|0769642|2400||29.25
20965|1|0769643|||94.73
20966|1|0769653|||49.67
20967|1|0769542|||95.93
20968|1|0769649|2400||59.61
20969|1|0769691|||73.29
20970|1|0769548|2400||81.13
20971|1|0769537|2400||20.40
20972|1|0769686|2400||19.27
20973|1|0769687|||19.25
20974|1|0769645|||61.01
20975|1|0769697|||81.20
20976|1|0769550|||39.72
20977|1|0769569|||99.77
20978|1|0769675|||5.91
