ordernumber;orderdate;shippeddate;status;customernumber;orderlinenumber;productcode;quantityordered;priceeach
10363;2020-01-06;2020-01-10;Shipped        ;334;8;S24_2020       ;21;70.1
10363;2020-01-06;2020-01-10;Shipped        ;334;14;S24_2360       ;43;56.1
10363;2020-01-06;2020-01-10;Shipped        ;334;15;S24_3371       ;21;52
10363;2020-01-06;2020-01-10;Shipped        ;334;1;S24_3856       ;31;113.8
10363;2020-01-06;2020-01-10;Shipped        ;334;9;S24_4620       ;43;76
10363;2020-01-06;2020-01-10;Shipped        ;334;2;S32_1374       ;50;92.9
10364;2020-01-06;2020-01-09;Shipped        ;350;1;S32_2206       ;48;38.2
10365;2020-01-07;2020-01-11;Shipped        ;320;1;S18_1129       ;30;116.1
10365;2020-01-07;2020-01-11;Shipped        ;320;3;S32_4485       ;22;82.7
10365;2020-01-07;2020-01-11;Shipped        ;320;2;S50_4713       ;44;68.3
10101;2020-01-09;2020-01-11;Shipped        ;128;4;S18_2325       ;25;108.1
10101;2020-01-09;2020-01-11;Shipped        ;128;1;S18_2795       ;26;167.1
10101;2020-01-09;2020-01-11;Shipped        ;128;3;S24_1937       ;45;32.5
10101;2020-01-09;2020-01-11;Shipped        ;128;2;S24_2022       ;46;44.4
10209;2020-01-09;2020-01-12;Shipped        ;347;8;S10_4757       ;39;129.2
10209;2020-01-09;2020-01-12;Shipped        ;347;6;S18_3029       ;28;82.6
10209;2020-01-09;2020-01-12;Shipped        ;347;5;S18_3856       ;20;97.4
10209;2020-01-09;2020-01-12;Shipped        ;347;1;S24_2841       ;43;66.4
10209;2020-01-09;2020-01-12;Shipped        ;347;2;S24_3420       ;36;56.6
10209;2020-01-09;2020-01-12;Shipped        ;347;7;S24_3816       ;22;79.7
10209;2020-01-09;2020-01-12;Shipped        ;347;4;S700_2047      ;33;90.5
10209;2020-01-09;2020-01-12;Shipped        ;347;3;S72_1253       ;48;44.2
10102;2020-01-10;2020-01-14;Shipped        ;181;2;S18_1342       ;39;95.6
10102;2020-01-10;2020-01-14;Shipped        ;181;1;S18_1367       ;41;43.1
10210;2020-01-12;2020-01-20;Shipped        ;177;2;S10_2016       ;23;113
10210;2020-01-12;2020-01-20;Shipped        ;177;1;S10_4698       ;34;189.8
10210;2020-01-12;2020-01-20;Shipped        ;177;17;S18_1662       ;31;141.9
10210;2020-01-12;2020-01-20;Shipped        ;177;7;S18_2581       ;50;68.4
10210;2020-01-12;2020-01-20;Shipped        ;177;3;S18_2625       ;40;51.5
10210;2020-01-12;2020-01-20;Shipped        ;177;9;S24_1785       ;27;100.7
10210;2020-01-12;2020-01-20;Shipped        ;177;4;S24_2020       ;30;63.2
10210;2020-01-12;2020-01-20;Shipped        ;177;16;S24_3949       ;29;56.6
10210;2020-01-12;2020-01-20;Shipped        ;177;8;S24_4278       ;40;68.1
10210;2020-01-12;2020-01-20;Shipped        ;177;5;S32_1374       ;46;84.9
10210;2020-01-12;2020-01-20;Shipped        ;177;10;S32_4289       ;39;57.1
10210;2020-01-12;2020-01-20;Shipped        ;177;11;S50_1341       ;43;43.2
10210;2020-01-12;2020-01-20;Shipped        ;177;12;S700_1691      ;21;87.7
10210;2020-01-12;2020-01-20;Shipped        ;177;14;S700_2466      ;26;93.7
10210;2020-01-12;2020-01-20;Shipped        ;177;6;S700_2834      ;25;98.5
10210;2020-01-12;2020-01-20;Shipped        ;177;13;S700_3167      ;31;64
10210;2020-01-12;2020-01-20;Shipped        ;177;15;S700_4002      ;42;60.7
